pck@0.05,pck@0.2,pckh@0.5,average_val_loss,average_train_loss,
0.01761801913380623,0.18768899142742157,0.28180548548698425,12.999313599722726,22.658750895994256,
0.047886453568935394,0.3295896351337433,0.439968466758728,11.727850205557687,12.440626127174102,
0.09617402404546738,0.5133292078971863,0.6366862654685974,10.311415549686977,11.13766410264624,
0.14952175319194794,0.6450169682502747,0.7467087507247925,9.222205461774553,9.92143261289022,
0.20203641057014465,0.7014192938804626,0.7856579422950745,8.388250773293631,8.971455217844033,
0.23218142986297607,0.7214440107345581,0.8009464144706726,7.8934001513889855,8.307458073259836,
0.24489355087280273,0.7424868941307068,0.8157495856285095,7.6076727322169715,7.915312729686139,
0.250910222530365,0.7365627884864807,0.8116241097450256,7.517741761888776,7.647404608956302,
0.2665843963623047,0.7625733017921448,0.8363162279129028,7.244912011282785,7.490491012492812,
0.2539648115634918,0.7252699732780457,0.7929685115814209,10.478612109592982,7.433786219861134,
0.263190358877182,0.7490280866622925,0.8241218328475952,7.246380124773298,7.827727121042918,
0.2790805399417877,0.7685590982437134,0.8412910103797913,6.988641793387277,7.184002938040768,
0.2727244794368744,0.7613082528114319,0.8338894844055176,7.048104163578579,7.056869274162384,
0.2857759892940521,0.7794507741928101,0.8476309180259705,6.836365277426584,6.8829753671784,
0.2834310531616211,0.7677260041236877,0.8400776386260986,6.894072239739554,7.179435534649585,
0.2938290536403656,0.7860536575317383,0.8533640503883362,6.6791572093963625,6.802509095295366,
0.29709964990615845,0.7864547967910767,0.8559121489524841,6.6363433088575094,6.692272778016975,
0.29962974786758423,0.7889540195465088,0.8565491437911987,6.591365323747907,6.629044459526797,
0.30101820826530457,0.7910521626472473,0.8571861982345581,6.588992009844099,6.460463782390916,
0.30151188373565674,0.7908052802085876,0.8581265807151794,6.574041128158569,6.442493843745036,
0.29947546124458313,0.7875964045524597,0.8550627827644348,6.548199585505894,6.382388429469373,
0.30330145359039307,0.7933662533760071,0.8618273138999939,6.517972482953753,6.315520226237285,
0.3012959063053131,0.7992903590202332,0.8662257790565491,6.467844145638602,6.2647573689380325,
0.3054612874984741,0.8058932423591614,0.8724746704101562,6.394573361533029,6.19795742235988,
0.3121567368507385,0.8026226758956909,0.8709883093833923,6.346052605765206,6.111171020082681,
0.31268125772476196,0.8029311895370483,0.869835615158081,6.328411429268973,6.061626822115427,
0.3161987066268921,0.8097192049026489,0.8726263642311096,6.295458541597639,6.019401468426349,
0.31490281224250793,0.8083924651145935,0.8735970258712769,6.311959055491856,5.981546989406448,
0.32388150691986084,0.8140079975128174,0.8768427968025208,6.212083244323731,5.911326003361897,
0.3173711895942688,0.8106139898300171,0.8776618242263794,6.249546861648559,5.879181561699832,
0.31835854053497314,0.8079605102539062,0.8704119324684143,6.29281405721392,5.816392588328166,
0.3256402313709259,0.8208268880844116,0.8827580213546753,6.142998715809413,5.740839001644089,
0.33403271436691284,0.8244677782058716,0.8872474431991577,6.063912418910435,5.6897212554173295,
0.3287874162197113,0.8228941559791565,0.8845477104187012,6.107752411706107,5.6527100930730985,
0.3153347671031952,0.7999382615089417,0.8646787405014038,6.384971284866333,5.745071969836591,
0.3302067220211029,0.8187288045883179,0.8810592889785767,6.146182973044259,5.625279507005071,
0.3352668881416321,0.8276766538619995,0.8910089135169983,5.994798782893589,5.51758176160146,
0.32292503118515015,0.8047207593917847,0.870836615562439,6.277010406766619,5.479957709829491,
